original,cleaned
Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Manb1-4GlcNAcb-Sp0,Man(b1-4)GlcNAc-Sp0
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
(3S)Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8 ,Fuc(a1-3)[GalOS(b1-4)]GlcNAcOS-Sp8
Fuca1-2(6S)Galb1-4GlcNAcb-Sp0,Fuc(a1-2)GalOS(b1-4)GlcNAc-Sp0
Fuca1-2Galb1-4(6S)GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-4)GlcNAcOS-Sp8
Fuca1-2(6S)Galb1-4(6S)Glcb-Sp0,Fuc(a1-2)GalOS(b1-4)GlcOS-Sp0
Neu5Aca2-3Galb1-3GalNAca-Sp8,NeuNAc(a2-3)Gal(b1-3)GalNAc-Sp8
Neu5Aca2-3Galb1-3GalNAca-Sp14,NeuNAc(a2-3)Gal(b1-3)GalNAc-Sp14
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc-Sp0
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc-Sp0
Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-3)Gal(b1-4)Glc-Sp0
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,NeuNAc(a2-8)NeuNAc(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc-Sp0
Neu5Aca2-8Neu5Aca2-8Neu5Aca-Sp8,NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc-Sp8
Neu5Aca2-3(6S)Galb1-4(Fuca1-3)GlcNAcb-Sp8,NeuNAc(a2-3)GalOS(b1-4)[Fuc(a1-3)]GlcNAc-Sp8
GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb-Sp0,NeuNAc(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc-Sp0
GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb-Sp8,NeuNAc(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc-Sp8
GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,NeuNAc(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc-Sp0
Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,NeuNAc(a2-3)Gal(b1-3)GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)Glc-Sp0
Neu5Aca2-6(Neu5Aca2-3)GalNAca-Sp8,NeuNAc(a2-3)[NeuNAc(a2-6)]GalNAc-Sp8
Neu5Aca2-3GalNAca-Sp8,NeuNAc(a2-3)GalNAc-Sp8
Neu5Aca2-3GalNAcb1-4GlcNAcb-Sp0,NeuNAc(a2-3)GalNAc(b1-4)GlcNAc-Sp0
Neu5Aca2-3Galb1-3(6S)GlcNAc-Sp8,NeuNAc(a2-3)Gal(b1-3)GlcNAcOS-Sp8
Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp8
Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp8
Neu5Aca2-3Galb1-4(Neu5Aca2-3Galb1-3)GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-3)]NeuNAc(a2-3)Gal(b1-4)]GlcNAc-Sp8
Neu5Aca2-3Galb1-3(6S)GalNAca-Sp8,NeuNAc(a2-3)Gal(b1-3)GalNAcOS-Sp8
Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp8,NeuNAc(a2-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc-Sp8
Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,NeuNAc(a2-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc-Sp14
Neu5Aca2-3Galb-Sp8,NeuNAc(a2-3)Gal-Sp8
Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,NeuNAc(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-Sp0
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Fuca1-2(6S)Galb1-4Glcb-Sp0,Fuc(a1-2)GalOS(b1-4)Glc-Sp0
Neu5Aca2-3Galb1-3GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-3)GlcNAc-Sp0
Neu5Aca2-3Galb1-3GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-3)GlcNAc-Sp8
Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-4)GlcNAcOS-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb-Sp8,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp8
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Neu5Aca2-3Galb1-4GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-4)GlcNAc-Sp0
Neu5Aca2-3Galb1-4GlcNAcb-Sp8,NeuNAc(a2-3)Gal(b1-4)GlcNAc-Sp8
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Fuca1-2Galb1-4(6S)Glcb-Sp0,Fuc(a1-2)Gal(b1-4)GlcOS-Sp0
Neu5Aca2-3Galb1-4Glcb-Sp0,NeuNAc(a2-3)Gal(b1-4)Glc-Sp0
Neu5Aca2-3Galb1-4Glcb-Sp8,NeuNAc(a2-3)Gal(b1-4)Glc-Sp8
Neu5Aca2-6GalNAca-Sp8,NeuNAc(a2-6)GalNAc-Sp8
Neu5Aca2-6GalNAcb1-4GlcNAcb-Sp0,NeuNAc(a2-6)GalNAc(b1-4)GlcNAc-Sp0
Neu5Aca2-6Galb1-4(6S)GlcNAcb-Sp8,NeuNAc(a2-6)Gal(b1-4)GlcNAcOS-Sp8
Neu5Aca2-6Galb1-4GlcNAcb-Sp0,NeuNAc(a2-6)Gal(b1-4)GlcNAc-Sp0
Neu5Aca2-6Galb1-4GlcNAcb-Sp8,NeuNAc(a2-6)Gal(b1-4)GlcNAc-Sp8
Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Neu5Aca2-6Galb1-4Glcb-Sp0,NeuNAc(a2-6)Gal(b1-4)Glc-Sp0
Neu5Aca2-6Galb1-4Glcb-Sp8,NeuNAc(a2-6)Gal(b1-4)Glc-Sp8
Neu5Aca2-6Galb-Sp8,NeuNAc(a2-6)Gal-Sp8
Neu5Aca2-8Neu5Aca-Sp8,NeuNAc(a2-8)NeuNAc-Sp8
Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,NeuNAc(a2-8)NeuNAc(a2-3)Gal(b1-4)Glc-Sp0
Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp0
Neu5Acb2-6GalNAca-Sp8,NeuNAc(b2-6)GalNAc-Sp8
Neu5Acb2-6Galb1-4GlcNAcb-Sp8,NeuNAc(b2-6)Gal(b1-4)GlcNAc-Sp8
Neu5Gca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,NeuNGc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp0
Neu5Gca2-3Galb1-3GlcNAcb-Sp0,NeuNGc(a2-3)Gal(b1-3)GlcNAc-Sp0
Neu5Gca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,NeuNGc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Neu5Gca2-3Galb1-4GlcNAcb-Sp0,NeuNGc(a2-3)Gal(b1-4)GlcNAc-Sp0
Neu5Gca2-3Galb1-4Glcb-Sp0,NeuNGc(a2-3)Gal(b1-4)Glc-Sp0
Neu5Gca2-6GalNAca-Sp0,NeuNGc(a2-6)GalNAc-Sp0
Neu5Gca2-6Galb1-4GlcNAcb-Sp0,NeuNGc(a2-6)Gal(b1-4)GlcNAc-Sp0
Neu5Gca-Sp8,NeuNGc-Sp8
Neu5Aca2-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc-Sp14
Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc-Sp0
Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp0 ,Fuc(a1-3)[Gal(b1-4)]GlcNAcOS-Sp0
Galb1-4(Fuca1-3)(6S)Glcb-Sp0,Fuc(a1-3)[Gal(b1-4)]GlcOS-Sp0
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp0
Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc-Sp0
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0ÃâÃÂ  ÃâÃÂ ÃâÃÂ ÃâÃÂ ÃâÃÂ  ,NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc-Sp0
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc-Sp0
4S(3S)Galb1-4GlcNAcb-Sp0,GalOS(b1-4)GlcNAc-Sp0
(6S)Galb1-4(6S)GlcNAcb-Sp0,GalOS(b1-4)GlcNAcOS-Sp0
(6P)Glcb-Sp10,GlcOP-Sp10
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3)GalNAca-Sp14,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc-Sp14
Galb1-3Galb1-4GlcNAcb-Sp8,Gal(b1-3)Gal(b1-4)GlcNAc-Sp8
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4GlcNAc-Sp0,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc-Sp0
GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4GlcNAc-Sp0,Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc-Sp0
Galb1-4GlcNAca1-6Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc-Sp0
Galb1-4GlcNAcb1-6Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc-Sp0
GalNAcb1-3Galb-Sp8,GalNAc(b1-3)Gal-Sp8
GlcAb1-3GlcNAcb-Sp8,GlcA(b1-3)GlcNAc-Sp8
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
GlcNAcb1-3Man-Sp10,GlcNAc(b1-3)Man-Sp10
GlcNAcb1-4GlcNAcb-Sp10,GlcNAc(b1-4)GlcNAc-Sp10
GlcNAcb1-4GlcNAcb-Sp12,GlcNAc(b1-4)GlcNAc-Sp12
MurNAcb1-4GlcNAcb-Sp10,MurNAc(b1-4)GlcNAc-Sp10
Mana1-6Manb-Sp10,Man(a1-6)Man-Sp10
Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb-Sp10,Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man-Sp10
Mana1-2Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man-Sp9
Mana1-2Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man-Sp9
Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc-Sp14
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Neu5Aca2-8Neu5Acb-Sp17,NeuNAc(a2-8)NeuNAc-Sp17
Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc-Sp8
Neu5Gcb2-6Galb1-4GlcNAc-Sp8,NeuNGc(b2-6)Gal(b1-4)GlcNAc-Sp8
Galb1-3GlcNAcb1-2Mana1-6(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp19
Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp20
"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0",NeuNAcOAc(a2-3)Gal(b1-4)GlcNAc-Sp0
"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0.1",NeuNAcOAc(a2-3)Gal(b1-4)GlcNAc-Sp1
Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc-Sp0
Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,NeuNAc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc-Sp0
Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Gala1-4Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,Gal(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-Sp0
GalNAcb1-3Gala1-4Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-Sp0
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAc-Sp14,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc-Sp14
GlcNAca1-4Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
GlcNAca1-4Galb1-4GlcNAcb-Sp0,GlcNAc(a1-4)Gal(b1-4)GlcNAc-Sp0
GlcNAca1-4Galb1-3GlcNAcb-Sp0,GlcNAc(a1-4)Gal(b1-3)GlcNAc-Sp0
GlcNAca1-4Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-Sp0
GlcNAca1-4Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
GlcNAca1-4Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
GlcNAca1-4Galb1-3GalNAc-Sp14,GlcNAc(a1-4)Gal(b1-4)GalNAc-Sp14
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6Manb1-4GlcNAcb1-4GlcNAc-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Galb1-4GlcNAcb1-2Mana1-6Manb1-4GlcNAcb1-4GlcNAc-Sp12,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-Sp22
Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-Sp22
Galb1-3GlcNAcb1-2Mana1-6(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-Sp22
(6S)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAcOS(b1-3)Gal(b1-4)GlcNAc-Sp0
KDNa2-3Galb1-4(Fuca1-3)GlcNAc-Sp0,Kdn(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
KDNa2-6Galb1-4GlcNAc-Sp0,Kdn(a2-6)Gal(b1-4)GlcNAc-Sp0
KDNa2-3Galb1-4Glc-Sp0,Kdn(a2-3)Gal(b1-4)Glc-Sp0
KDNa2-3Galb1-3GalNAca-Sp14,Kdn(a2-3)Gal(b1-3)GalNAc-Sp14
Fuca1-2Galb1-3GlcNAcb1-2Mana1-6(Fuca1-2Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp20
Fuca1-2Galb1-4GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp20
